"heads_heads","tails_heads","N_start_heads_up","N_start_tails_up","person","coin"
244,240,485,515,"frantisekB","20DEM-silver"
260,245,505,495,"frantisekB","1CZK"
209,260,469,531,"frantisekB","5CZK"
530,495,1021,979,"frantisekB","0.25USD"
533,507,1039,961,"frantisekB","10CZK"
745,751,1493,1507,"frantisekB","0.50EUR"
975,971,1948,1952,"frantisekB","1EUR"
2132,2126,4262,4334,"ingeborgR","2HRK"
2215,1965,4177,4257,"alexandraS","1MXN"
1769,1699,3463,3635,"madlenH","0.50EUR"
2349,2268,4624,4658,"henrikG","2EUR"
1875,1770,3645,3680,"adamF","5ZAR"
301,226,528,475,"adamF","0.05EUR"
1467,1454,2922,2939,"jillR","0.20EUR"
152,147,298,304,"jillR","0.20GEL"
1517,1466,2988,3008,"jonasP","0.20GEL"
386,385,769,731,"pierreG","1CHF"
384,369,756,744,"pierreG","5CZK"
381,376,758,742,"pierreG","1CNY"
380,372,751,749,"pierreG","100JPY"
376,370,747,753,"pierreG","5JPY"
769,752,1521,1479,"pierreG","2CHF"
364,371,734,766,"pierreG","2EUR"
395,373,768,732,"pierreG","1EUR"
390,377,770,730,"pierreG","0.50EUR"
514,493,1006,995,"amirS","5MAD"
762,741,1503,1497,"amirS","2MAD"
505,509,1015,985,"amirS","1MAD"
495,489,984,1027,"amirS","0.05NZD"
752,766,1519,1481,"amirS","0.50EUR"
728,777,1508,1492,"amirS","1EUR"
687,1134,1355,2251,"davidV","0.20EUR"
752,654,1476,1349,"davidV","1EUR"
802,825,1571,1640,"davidV","0.05EUR"
449,424,874,823,"davidV","0.50EUR"
862,896,1756,1904,"davidV","0.10EUR"
342,379,720,782,"kaleemU","2EUR"
416,457,871,931,"kaleemU","1EUR"
503,510,1008,994,"kaleemU","0.50EUR"
188,173,363,338,"irmaT","1EUR"
623,635,1257,1244,"kaleemU","0.20EUR"
380,372,751,754,"kaleemU","0.10EUR"
504,524,1025,980,"kaleemU","0.20GBP"
382,383,765,739,"kaleemU","0.50GBP"
356,382,735,768,"kaleemU","2CHF"
3903,3552,7456,7544,"davidKL","1SGD"
483,461,949,951,"AaronLob","1EUR"
778,727,1502,1498,"AaronLob","2EUR"
265,242,511,489,"AaronLob","0.20EUR"
285,236,525,475,"AaronLob","1DEM"
126,121,248,252,"AaronLob","0.50EUR"
491,452,939,961,"AdrianKarami","0.20EUR"
241,251,491,509,"AdrianKarami","2EUR"
148,125,273,227,"AdrianKarami","1GBP"
247,251,494,506,"alexandraS","1EUR"
249,250,501,499,"alexandraS","1DEM"
758,748,1504,1496,"alexandraS","2EUR"
259,241,501,499,"alexandraS","1CAD"
289,240,530,470,"alexandraS","10CZK"
284,237,521,479,"alexandraS","0.50EUR"
255,248,502,498,"alexandraS","0.20EUR"
243,218,461,439,"AndreeaZetea","0.25USD"
276,253,532,468,"AndreeaZetea","0.05EUR"
381,406,784,793,"AndreeaZetea","2EUR"
229,257,491,509,"AndreeaZetea","0.50RON"
244,217,460,440,"ArneJohn","5SEK"
248,250,499,501,"ArneJohn","2EUR"
265,247,513,487,"ArneJohn","1EUR"
238,268,504,496,"ArneJohn","0.50EUR"
224,224,445,455,"BohanFu","0.50EUR"
278,240,516,484,"BohanFu","0.20EUR"
78,80,157,143,"BohanFu","0.02EUR"
206,217,427,473,"EJ","2EUR"
243,246,487,513,"EJ","1EUR"
245,262,504,496,"EJ","0.50EUR"
275,245,521,479,"EJ","0.20EUR"
43,45,87,113,"EJ","50CZK"
655,650,1299,1301,"frantisekB","1CAD"
253,235,491,509,"frantisekB","0.20EUR"
415,378,798,802,"frantisekB","50CZK"
240,200,439,461,"FranziskaAssion","1EUR"
241,227,466,534,"FranziskaAssion","1DEM"
261,232,492,508,"FranziskaAssion","0.20EUR"
248,217,462,438,"FranziskaAssion","2EUR"
215,215,428,472,"HannahArmstrong","2CAD"
233,245,478,522,"HannahArmstrong","2EUR"
233,254,487,513,"HannahArmstrong","1CAD"
23,25,47,53,"HannahArmstrong","0.25CAD"
261,250,509,491,"henrikG","1EUR"
566,492,1056,944,"henrikG","10CZK"
235,256,492,508,"henrikG","1DEM"
235,263,497,503,"henrikG","0.01GBP"
