"heads_heads","tails_heads","N_start_heads_up","N_start_tails_up","same_side","N","person","coin","agg","from","to","mean_toss"
28,20,48,52,60,100,"frantisekB","20DEM-silver",1,1,100,50.5
19,24,43,57,52,100,"frantisekB","20DEM-silver",2,101,200,150.5
20,28,48,52,44,100,"frantisekB","20DEM-silver",3,201,300,250.5
34,20,54,46,60,100,"frantisekB","20DEM-silver",4,301,400,350.5
20,26,46,54,48,100,"frantisekB","20DEM-silver",5,401,500,450.5
22,25,47,53,50,100,"frantisekB","20DEM-silver",6,501,600,550.5
29,26,55,45,48,100,"frantisekB","20DEM-silver",7,601,700,650.5
16,22,39,61,55,100,"frantisekB","20DEM-silver",8,701,800,750.5
29,25,54,46,50,100,"frantisekB","20DEM-silver",9,801,900,850.5
27,24,51,49,52,100,"frantisekB","20DEM-silver",10,901,1000,950.5
26,20,47,53,59,100,"frantisekB","1CZK",11,1001,1100,1050.5
28,25,53,47,50,100,"frantisekB","1CZK",12,1101,1200,1150.5
17,23,39,61,55,100,"frantisekB","1CZK",13,1201,1300,1250.5
25,27,52,48,46,100,"frantisekB","1CZK",14,1301,1400,1350.5
31,24,55,45,52,100,"frantisekB","1CZK",15,1401,1500,1450.5
34,24,58,42,52,100,"frantisekB","1CZK",16,1501,1600,1550.5
25,24,48,52,53,100,"frantisekB","1CZK",17,1601,1700,1650.5
32,28,61,39,43,100,"frantisekB","1CZK",18,1701,1800,1750.5
18,25,43,57,50,100,"frantisekB","1CZK",19,1801,1900,1850.5
24,25,49,51,50,100,"frantisekB","1CZK",20,1901,2000,1950.5
18,31,48,52,39,100,"frantisekB","5CZK",21,2001,2100,2050.5
23,24,47,53,52,100,"frantisekB","5CZK",22,2101,2200,2150.5
12,30,42,58,40,100,"frantisekB","5CZK",23,2201,2300,2250.5
19,23,43,57,53,100,"frantisekB","5CZK",24,2301,2400,2350.5
24,24,48,52,52,100,"frantisekB","5CZK",25,2401,2500,2450.5
23,22,44,56,57,100,"frantisekB","5CZK",26,2501,2600,2550.5
19,31,50,50,38,100,"frantisekB","5CZK",27,2601,2700,2650.5
22,23,45,55,54,100,"frantisekB","5CZK",28,2701,2800,2750.5
31,24,55,45,52,100,"frantisekB","5CZK",29,2801,2900,2850.5
18,28,47,53,43,100,"frantisekB","5CZK",30,2901,3000,2950.5
31,21,52,48,58,100,"frantisekB","0.25USD",31,3001,3100,3050.5
33,23,56,44,54,100,"frantisekB","0.25USD",32,3101,3200,3150.5
23,26,50,50,47,100,"frantisekB","0.25USD",33,3201,3300,3250.5
25,28,52,48,45,100,"frantisekB","0.25USD",34,3301,3400,3350.5
29,23,51,49,55,100,"frantisekB","0.25USD",35,3401,3500,3450.5
22,26,47,53,49,100,"frantisekB","0.25USD",36,3501,3600,3550.5
22,30,51,49,41,100,"frantisekB","0.25USD",37,3601,3700,3650.5
24,25,49,51,50,100,"frantisekB","0.25USD",38,3701,3800,3750.5
24,28,52,48,44,100,"frantisekB","0.25USD",39,3801,3900,3850.5
19,26,45,55,48,100,"frantisekB","0.25USD",40,3901,4000,3950.5
22,30,53,47,39,100,"frantisekB","10CZK",41,4001,4100,4050.5
24,25,50,50,49,100,"frantisekB","10CZK",42,4101,4200,4150.5
25,26,50,50,49,100,"frantisekB","10CZK",43,4201,4300,4250.5
31,26,57,43,48,100,"frantisekB","10CZK",44,4301,4400,4350.5
27,23,50,50,54,100,"frantisekB","10CZK",45,4401,4500,4450.5
18,26,45,55,47,100,"frantisekB","10CZK",46,4501,4600,4550.5
35,19,54,46,62,100,"frantisekB","10CZK",47,4601,4700,4650.5
26,21,48,52,57,100,"frantisekB","10CZK",48,4701,4800,4750.5
28,27,54,46,47,100,"frantisekB","10CZK",49,4801,4900,4850.5
11,29,39,61,43,100,"frantisekB","10CZK",50,4901,5000,4950.5
19,25,45,55,49,100,"frantisekB","0.50EUR",51,5001,5100,5050.5
34,21,55,45,58,100,"frantisekB","0.50EUR",52,5101,5200,5150.5
20,29,49,51,42,100,"frantisekB","0.50EUR",53,5201,5300,5250.5
28,27,55,45,46,100,"frantisekB","0.50EUR",54,5301,5400,5350.5
31,22,52,48,57,100,"frantisekB","0.50EUR",55,5401,5500,5450.5
23,26,50,50,47,100,"frantisekB","0.50EUR",56,5501,5600,5550.5
37,23,60,40,54,100,"frantisekB","0.50EUR",57,5601,5700,5650.5
24,24,47,53,53,100,"frantisekB","0.50EUR",58,5701,5800,5750.5
19,26,46,54,47,100,"frantisekB","0.50EUR",59,5801,5900,5850.5
